,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,SPOT,SPOT,SPOT,SPOT,SPOT,SPOT
Price,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,,MSFT,MSFT,MSFT,MSFT,MSFT,,AMZN,AMZN,AMZN,AMZN,AMZN,,NFLX,NFLX,NFLX,NFLX,NFLX,,SPOT,SPOT,SPOT,SPOT,SPOT,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,131.07643127441406,131.85710086380988,128.96858764628234,128.96858764628234,78657500,APPLE,114.9781723022461,115.50059817563802,113.13627707825277,113.39749001494873,28670000,GOOGLE,251.63107299804688,251.97796628376562,247.89249434701014,248.48027512926257,21462600,MICROSOFT,167.04400634765625,168.75,165.4250030517578,165.9550018310547,63856000,AMAZON,505.54998779296875,509.70001220703125,500.70001220703125,509.010009765625,7307700,NETFLIX,284.1099853515625,286.2900085449219,267.8599853515625,268.0,2239000,SPOTIFY
2021-04-26,131.466796875,131.79858301727063,130.33480485867753,131.57414120224303,66905100,APPLE,115.54627990722656,116.26735095454649,114.90566717052828,115.20809433526924,20834000,GOOGLE,252.0164031982422,252.87397651486,250.68672936049217,252.12240895213077,19763300,MICROSOFT,170.4499969482422,171.42250061035156,166.5469970703125,167.39999389648438,97614000,AMAZON,510.29998779296875,510.4800109863281,503.0,506.760009765625,4388800,NETFLIX,298.0199890136719,298.7300109863281,277.3299865722656,278.1199951171875,2239600,SPOTIFY
2021-04-27,131.14476013183594,132.1401334204204,130.87152274129448,131.7497836551319,66015800,APPLE,114.57195281982422,116.07814028152193,114.43041954312457,116.00613850428667,31972000,GOOGLE,252.42112731933594,253.59665918186172,250.638554413961,252.0453288051133,31014200,MICROSOFT,170.8715057373047,173.0,169.90049743652344,172.17349243164062,76542000,AMAZON,505.54998779296875,512.989990234375,504.5799865722656,512.6199951171875,3761300,NETFLIX,292.9200134277344,299.4849853515625,289.6400146484375,297.8800048828125,1239400,SPOTIFY
2021-04-28,130.35430908203125,131.7595383135996,129.86638309275443,131.06667685708592,107760100,APPLE,118.18671417236328,121.78548461462611,117.93543539075124,119.53920643416441,59728000,GOOGLE,245.28123474121094,247.18907393112897,243.72991897507123,246.74581985137027,46903100,MICROSOFT,172.9250030517578,174.49400329589844,171.25,171.74000549316406,92638000,AMAZON,506.5199890136719,508.3999938964844,503.3399963378906,505.20001220703125,3193000,NETFLIX,256.8399963378906,270.1600036621094,255.16000366210938,269.70001220703125,7772300,SPOTIFY
2021-04-29,130.25669860839844,133.76001800843707,129.2515724107939,133.17450095202088,151101000,APPLE,120.66873168945312,120.99797577889495,119.29761381225978,119.69738206143543,39554000,GOOGLE,243.30593872070312,246.765093449427,239.92388443782954,246.1484222060443,40589000,MICROSOFT,173.5655059814453,175.72250366210938,171.75,175.2550048828125,153648000,AMAZON,509.0,509.2900085449219,499.0,507.6000061035156,5127800,NETFLIX,262.1499938964844,265.8800048828125,260.0,262.8399963378906,3330800,SPOTIFY
2021-04-30,128.28549194335938,130.33477191318826,127.9049103139399,128.59775679529238,109839500,APPLE,119.68695068359375,120.53217218777338,119.29166075067967,119.40736978099824,39142000,GOOGLE,242.98802185058594,243.8552256361316,240.50207589212962,240.63697229842265,30945100,MICROSOFT,173.37100219726562,177.6999969482422,173.125,176.25599670410156,140186000,AMAZON,513.469970703125,514.5499877929688,505.0,505.0,4413200,NETFLIX,252.1199951171875,264.3999938964844,251.9600067138672,260.0,2187600,SPOTIFY
2021-05-03,129.33941650390625,130.83248375117557,128.64656992797262,128.85149050777056,75135100,APPLE,118.94453430175781,120.16269958102548,118.41465968441923,119.31947096521989,33788000,GOOGLE,242.67962646484375,245.07887049530544,241.96659439850615,244.16348652412827,19626600,MICROSOFT,169.32449340820312,174.33250427246094,168.63499450683594,174.2364959716797,117510000,AMAZON,509.1099853515625,518.9500122070312,505.20001220703125,512.6500244140625,4091900,NETFLIX,247.69000244140625,258.6000061035156,246.89999389648438,255.4199981689453,2305600,SPOTIFY
2021-05-04,124.7626724243164,128.3147804318186,123.64044117384255,128.0220218638134,137564700,APPLE,116.91244506835938,118.15444173452738,114.79940262096032,117.68167902440736,35120000,GOOGLE,238.7579803466797,242.0533333507918,236.8019755773851,241.82207612341142,32756100,MICROSOFT,165.593505859375,168.3990020751953,163.60650634765625,167.8094940185547,108788000,AMAZON,503.17999267578125,511.6300048828125,496.7900085449219,510.7799987792969,4349500,NETFLIX,240.1199951171875,244.8000030517578,236.34500122070312,244.39999389648438,2562400,SPOTIFY
2021-05-05,125.00665283203125,127.29989620196363,124.87978730136861,126.08008114657817,84000900,APPLE,117.03608703613281,118.30043735484581,116.77140358863262,117.61611735884537,21806000,GOOGLE,237.48614501953125,240.40570004020393,236.85984346559866,239.98173573180443,21901300,MICROSOFT,163.52699279785156,167.73500061035156,163.21800231933594,166.9429931640625,74226000,AMAZON,496.0799865722656,507.7799987792969,494.6300048828125,504.989990234375,3129400,NETFLIX,239.5,246.33999633789062,236.67100524902344,246.0,1549900,SPOTIFY
2021-05-06,126.60704803466797,126.61680119447594,124.06006618952057,124.80171581873422,78128300,APPLE,118.25822448730469,118.32576309593807,116.3208825675592,116.73316133099752,20618000,GOOGLE,240.62725830078125,240.75252446444634,235.77097436595255,237.4668165156734,26491100,MICROSOFT,165.31849670410156,165.72000122070312,162.36000061035156,163.5,88954000,AMAZON,499.54998779296875,499.54998779296875,491.3699951171875,495.989990234375,3783700,NETFLIX,237.0399932861328,237.72999572753906,230.3000030517578,235.5,1770100,SPOTIFY
2021-05-07,127.28152465820312,128.307897749906,126.56793194976201,127.90713017156261,78973300,APPLE,119.11933898925781,119.99931866088252,118.68779053253948,119.18439216656684,23272000,GOOGLE,243.25778198242188,245.03071003481767,242.0147945427054,242.9590692028245,27032900,MICROSOFT,164.58050537109375,166.54449462890625,164.45350646972656,165.95449829101562,94206000,AMAZON,503.8399963378906,508.54998779296875,501.1199951171875,504.6199951171875,3132800,NETFLIX,239.41000366210938,246.5,237.35000610351562,242.36000061035156,1312600,SPOTIFY
2021-05-10,123.99707794189453,126.62657341198205,123.95797666716017,126.49950732025513,88071200,APPLE,116.28721618652344,118.09186782363435,115.94307465547669,117.9374224148402,26006000,GOOGLE,238.17025756835938,242.55441256020535,238.11244692669274,241.72575905690567,29299900,MICROSOFT,159.52450561523438,164.14999389648438,159.5,164.11599731445312,116772000,AMAZON,486.69000244140625,503.1499938964844,486.1099853515625,502.0,5131600,NETFLIX,228.2100067138672,237.47000122070312,227.6300048828125,235.4199981689453,1857300,SPOTIFY
2021-05-11,123.0782241821289,123.43012073939632,120.0088375044798,120.72242271776828,126142800,APPLE,114.65340423583984,115.3108997784846,113.37415640533781,113.81414624829634,32110000,GOOGLE,237.25486755371094,237.61139098411766,233.7282863940429,235.6361109168277,33641600,MICROSOFT,161.19549560546875,161.89999389648438,156.36849975585938,156.81399536132812,92396000,AMAZON,495.0799865722656,497.989990234375,478.6300048828125,479.75,4401000,NETFLIX,228.00999450683594,230.94000244140625,221.0,221.72999572753906,2509400,SPOTIFY
2021-05-12,120.00885009765625,121.83679573122357,119.50054838799285,120.62468591755979,112172300,APPLE,111.19307708740234,113.49184487851753,110.74464588842024,112.31688678777981,34934000,GOOGLE,230.28842163085938,235.4723246970904,229.39232729849988,233.34287299026997,36684400,MICROSOFT,157.5970001220703,160.39700317382812,156.65499877929688,159.25,98728000,AMAZON,484.9800109863281,493.5400085449219,482.70001220703125,486.8299865722656,4121500,NETFLIX,225.60000610351562,232.00999450683594,223.39999389648438,224.77000427246094,1322100,SPOTIFY
